Name,Location,City,P.O Box,Phone,Mobile,Company Page Link,Logo URL
Arabian House Restaurant,N/A,Abu Dhabi,N/A,02-4450949,N/A,N/A,/images/placeholder.png
Arabian Seashell Cafeteria,"Beach Road, Jumeirah 3",Dubai,N/A,04-3942886,N/A,N/A,/images/placeholder.png
Arman Cafe,"G Floor, Al Maktoum St, Dubai Corniche Hotel & Residence, Al Maktoum St, Deira",Dubai,181858,04-2292983,N/A,N/A,/images/placeholder.png
Aroma Garden Caffe,"Al Amri Bldg, Oud Metha Rd, Karama",Dubai,30651,04-3368999,N/A,N/A,/images/placeholder.png
Aroma Spicy Restaurant,"Behind Eldorado Cinemas, Electra Street",Abu Dhabi,N/A,02-6770064,N/A,N/A,/images/placeholder.png
Arous Al Wadi Restaurant,Al Nahda,Sharjah,N/A,06-5363600,N/A,N/A,/images/placeholder.png
Arrows & Sparrows Cafe,"Emaar Business Park, The Greens",Dubai,N/A,04-5588141,N/A,N/A,/images/placeholder.png
Art House Cafe,"Eitihad Modern Art Galley, Al Bateen",Abu Dhabi,N/A,02-4182466,N/A,N/A,/images/placeholder.png
Arya Bhavan Restaurant,Al Falah St,Abu Dhabi,N/A,02-4450909,N/A,N/A,/images/placeholder.png
Asfar Restaurant & Coffee Shop,N/A,Abu Dhabi,N/A,02-6422217,N/A,N/A,/images/placeholder.png
Ashbilia Restaurant,Karama,Dubai,50080,04-3969726,N/A,N/A,/images/placeholder.png
Ashrafi Restaurant,"Near Cargo Village, Airport Rd",Dubai,60825,04-2821718,N/A,N/A,/images/placeholder.png
Asia De Cuba,Corniche Road,Abu Dhabi,N/A,02-6993333,N/A,N/A,/images/placeholder.png
Asian Palace Sharjah Restaurant,"Mubarak Centre, Al Aroba St",Sharjah,N/A,06-5233505,N/A,N/A,/images/placeholder.png
Assia In Work,"The Res Tower 1, Burj Dubai",Dubai,184512,04-4205225,N/A,N/A,/images/placeholder.png
Atayab Public Kitchen and Restaurant,Dibba Wasit,Dibba,11757,09-2443644,N/A,N/A,/images/placeholder.png
Atayeb,"Yas Viceroy, Yas Island",Abu Dhabi,N/A,02-6560000,N/A,N/A,/images/placeholder.png
Atelier M,Dubai Marina,Dubai,N/A,04-4507766,N/A,N/A,/images/placeholder.png
Athena Greek Cuisine,Abu Dhabi Mall,Abu Dhabi,53128,02-6450060,N/A,N/A,/images/placeholder.png
Automatic Restaurant & Grill,"Near ADCB, Corniche Rd",Sharjah,28977,06-5741222,N/A,N/A,/images/placeholder.png
Avani Restaurant LLC,"Al Dana Centre, Arjaan Food Court, Karama",Dubai,44056,04-2989142,N/A,N/A,/images/placeholder.png
Avasa Restaurant,Saadiyat Island,Abu Dhabi,N/A,02-6742221,N/A,N/A,/images/placeholder.png
Avon Restaurant,"Gold Souq, Deira",Dubai,N/A,04-2251827,N/A,N/A,/images/placeholder.png
Awtar Restaurant,TCA,Abu Dhabi,4832,02-6441551,N/A,N/A,/images/placeholder.png
Aysha Restaurant,"Street 33C, Al Mussalla Road, Bur Dubai",Dubai,N/A,04-3525315,N/A,N/A,/images/placeholder.png
Bab Al Yemen Mandi Restaurant,N/A,Dubai,N/A,04-2558787,N/A,N/A,/images/placeholder.png
Bab Deira Restaurant,Abu Shagara Park,Sharjah,N/A,06-5344765,N/A,N/A,/images/placeholder.png
Bagatelle,"Farimont Hotel, Shk Zayed Road",Dubai,N/A,04-3545035,N/A,N/A,/images/placeholder.png
Baguette,Khalifa St,Abu Dhabi,27363,02-6276442,N/A,N/A,/images/placeholder.png
Baguette Cafe and Restaurant,Corniche,Abu Dhabi,2698,02-6273100,N/A,N/A,/images/placeholder.png
Bait Al Kanafa Restaurant,Deira,Dubai,N/A,04-2689900,N/A,N/A,/images/placeholder.png
Bait Al Khetyar Cafeteria,Najdah St,Abu Dhabi,N/A,02-6333200,N/A,N/A,/images/placeholder.png
Bait Al Mandi Restaurant,Muraqabat,Dubai,N/A,04-2629139,N/A,N/A,/images/placeholder.png
Bait Al Wakeel,"Near Bank Of Baroda, Bur Dubai",Dubai,3919,04-3534870,N/A,N/A,/images/placeholder.png
Bait Karachi and Delhi Biryani Restaurant,"Next to Mega Mall, Abu Shagara",Sharjah,N/A,06-5734651,N/A,N/A,/images/placeholder.png
Baker Street,"G 08, Dubai Gate, JLT",Dubai,488183,04-3629392,N/A,N/A,/images/placeholder.png
Bakhit Ahmed Bakhit Restaurant,N/A,Dubai,N/A,04-2711357,N/A,N/A,/images/placeholder.png
Balad Al Khayvat Restaurant,Near National Paints. Muwailah Rd,Sharjah,N/A,06-5427605,N/A,N/A,/images/placeholder.png
Baladna,N/A,Abu Dhabi,N/A,02-6446648,N/A,N/A,/images/placeholder.png
Bandar Bride Restaurant,"Murshid Bazar, Deira",Dubai,112675,04-2254443,N/A,N/A,/images/placeholder.png
Bandung Restaurant,Baharia St,Abu Dhabi,73843,02-6452008,N/A,N/A,/images/placeholder.png
Bangkok Town Thai Restaurant,"Bhnd Al Massa Cinema, Buhairah Corniche",Sharjah,38616,06-5568282,N/A,N/A,/images/placeholder.png
Banglore Empire Restaurant LLC,Al Qusais,Dubai,N/A,04-2611433,N/A,N/A,/images/placeholder.png
Barasti,"Le Meridian, Mina Seyahi",Dubai,N/A,04-3993333,N/A,N/A,/images/placeholder.png
Barbar Neirut Restaurant & Cafe,Rigga,Dubai,N/A,04-2999990,N/A,N/A,/images/placeholder.png
Barca Club,Palm Jumeirah,Dubai,N/A,04-4393548,N/A,N/A,/images/placeholder.png
Bareburger,Festival City,Dubai,N/A,04-3387110,N/A,N/A,/images/placeholder.png
Barouk Restaurant,Yas Island,Abu Dhabi,N/A,02-6563000,N/A,N/A,/images/placeholder.png
Barracuda Restaurant,"Beach Rd, Jumeirah 3",Dubai,N/A,04-3940408,N/A,N/A,/images/placeholder.png
Barzat Tea Time Cafeteria,"Behind Adnoc Main Building, Salam Street",Abu Dhabi,N/A,02-6261415,N/A,N/A,/images/placeholder.png
Bateaux Dubai,Jumeirah,Dubai,26500,04-3994994,N/A,N/A,/images/placeholder.png
Bawabat Demashq Restaurant,Al Muraqabat St,Dubai,N/A,600 544745,N/A,N/A,/images/placeholder.png
Bay Leaf (Indian Cuisine),"Bhnd Lulu, Al Barsha",Dubai,38404,04-3235265,N/A,N/A,/images/placeholder.png
Bay Leaf Indian Coastal Cuisine,"Opp Lamcy Plaza, Oud Metha",Dubai,N/A,04-3583962,N/A,N/A,/images/placeholder.png
Bazerkan Lebanese Restaurant,N/A,Dubai,N/A,04-3397750,N/A,N/A,/images/placeholder.png
Bazxar,DIFC,Dubai,N/A,04-3551111,N/A,N/A,/images/placeholder.png
BBQ Al Qasr,"Emirates Palace, Al Ras Al Akhdar",Abu Dhabi,N/A,02-6907999,N/A,N/A,/images/placeholder.png
BBQ Tonight,Satwa,Dubai,N/A,04-3425272,N/A,N/A,/images/placeholder.png
Beach House Restaurant,Saadiyat Island,Abu Dhabi,N/A,02-4071234,N/A,N/A,/images/placeholder.png
Beauty Restaurant,Bidiya Area,Dibba,18128,09-2388563,N/A,N/A,/images/placeholder.png
Beijing Chinese Restaurant,"Near Al Mamzar Centre, Abu Hail",Dubai,24365,04-3437674,N/A,N/A,/images/placeholder.png
Beiutna Restaurant & Cafe,Garhoud,Dubai,6433,04-2947744,N/A,N/A,/images/placeholder.png
Bel Mondo Cafe and Restaurant,Hamdan St,Abu Dhabi,47401,02-6763867,N/A,N/A,/images/placeholder.png
Beldian Cafe,"Inter Continental, Al Bateen",Abu Dhabi,N/A,02-6666888,N/A,N/A,/images/placeholder.png
Belgian Beer Cafe,Souk Madinat,Dubai,N/A,04-4470227,N/A,N/A,/images/placeholder.png
Bengre Kamat Restaurant LLC,"Near Dolphin Hotel Apartments, Bur Dubai",Dubai,43261,04-3553611,N/A,N/A,/images/placeholder.png
Benjarong,"Dusit Thani Dubai, Sh zayed road",Dubai,N/A,04-3080000,N/A,N/A,/images/placeholder.png
Bently Bristo & Bar,"The Galleria, Al Maryah Island",Abu Dhabi,N/A,02-6262131,N/A,N/A,/images/placeholder.png
Bentoya Kitchen,Sh Zayed Rd,Dubai,N/A,04-3430222,N/A,N/A,/images/placeholder.png
Bertin,"Al Manara, Shk Zayed Road",Dubai,N/A,04-3219239,N/A,N/A,/images/placeholder.png
Berts Cafe,The Greens,Dubai,N/A,04-3619292,N/A,N/A,/images/placeholder.png
Bhavana Restaurant,Electra St,Abu Dhabi,N/A,02-6334342,N/A,N/A,/images/placeholder.png
Biancorosso,"Y Tower, Muroor Road, Al Nahyan",Abu Dhabi,40437,02-6584244,N/A,N/A,/images/placeholder.png
Big Bite Restaurant,Near Abu Shagara Park,Sharjah,N/A,06-5595643,N/A,N/A,/images/placeholder.png
Big Gate Restaurant & Cafeteria,"Nakheel Rd, Deira",Dubai,N/A,04-2212215,N/A,N/A,/images/placeholder.png
Big Smoke Burger,Al Wasl Road,Dubai,N/A,04-3436533,N/A,N/A,/images/placeholder.png
Bilad Al Rafidain Used Car LLC,N/A,Sharjah,2560,06-5424667,N/A,N/A,/images/placeholder.png
Billionaire Mansion,"Taj Dubai, Business Bay",Dubai,N/A,04-5103100,N/A,N/A,/images/placeholder.png
Bin Hindi Restaurant,"R/A 8, Near Al Badia Rest, Jebel Ali Free Zone",Jebel Ali,17280,04-8836620,N/A,N/A,/images/placeholder.png
Biriyani House Restaurant,Ajman-Sharjah Rd,Sharjah,4551,06-7432136,N/A,N/A,/images/placeholder.png
Biriyani Hut Restaurant LLC,Madinat Zayed,Abu Dhabi,105329,02-6332112,N/A,N/A,/images/placeholder.png
Biriyani Pot,Jumeirah,Dubai,N/A,04-3382277,N/A,N/A,/images/placeholder.png
Biryani Centre Restaurant,"Shabiya M 10, Musaffah",Abu Dhabi,N/A,02-5550888,N/A,N/A,/images/placeholder.png
Biryani Hut Restaurant LLC,"Fathima Bldg, Near Madina Mall, Muhaisnah",Dubai,N/A,04-2344885,N/A,N/A,/images/placeholder.png
Biryani Times Restaurant,N/A,Dubai,N/A,04-2886658,N/A,N/A,/images/placeholder.png
Bisaya Restaurant,Qusais,Dubai,N/A,04-3709588,N/A,N/A,/images/placeholder.png
Bistro Des Arts,Dubai Marina,Dubai,N/A,04-5511576,N/A,N/A,/images/placeholder.png
BiteRite,Muroor Rd,Abu Dhabi,37005,02-6411660,N/A,N/A,/images/placeholder.png
Black Pearl (Al Raha Beach Hotel),N/A,Abu Dhabi,N/A,02-5080555,N/A,N/A,/images/placeholder.png
Black Tap,Madinat Jumeirah,Dubai,N/A,04-4229904,N/A,N/A,/images/placeholder.png
Blue City Restaurant,"Near Al Tayer Motors, Garhoud",Dubai,7135,04-2824800,N/A,N/A,/images/placeholder.png
Blue Dana Restaurant,Al Wahda St,Sharjah,22196,06-5531680,N/A,N/A,/images/placeholder.png
Blue Jade,"The Ritz Carlton, JBR",Dubai,N/A,04-3186150,N/A,N/A,/images/placeholder.png
Blue Marlin Ibiza UAE,"Golden Tulip Beach Resort, Ghantoot",Abu Dhabi,N/A,056-1133400,N/A,N/A,/images/placeholder.png
Blue Sea Refreshments,Near National Cinema,Abu Dhabi,N/A,02-6780085,N/A,N/A,/images/placeholder.png
Boa Steakhouse,Al Markaziyah,Abu Dhabi,N/A,02-6411500,N/A,N/A,/images/placeholder.png
Bob's Fish & Chips,Dubai Marina,Dubai,66413,04-4504262,N/A,N/A,/images/placeholder.png
Bobs Easy Dinner,The Walk,Dubai,N/A,800 2627,N/A,N/A,/images/placeholder.png
Boca Cafe,DIFC,Dubai,N/A,04-3231833,N/A,N/A,/images/placeholder.png
Bocadillo,N/A,Abu Dhabi,N/A,02-6456020,N/A,N/A,/images/placeholder.png
Bombay Spice Garden,"Near Choithram, Abu Shagarah",Sharjah,N/A,06-5533827,N/A,N/A,/images/placeholder.png
Bombay Sweets & Bakery LLC,"Amman St, Al Nahda",Dubai,234872,04-2398901,N/A,N/A,/images/placeholder.png
Bon Appetit,Sh zayed road,Dubai,N/A,04-3438311,N/A,N/A,/images/placeholder.png
Bon Food LLC,Madinat Zayed Shopping Complex,Abu Dhabi,27425,02-6339497,N/A,N/A,/images/placeholder.png
Bonfood Restaurant,"Grand Shopping Mall, Al Quoz",Dubai,72253,04-3380807,N/A,N/A,/images/placeholder.png
Bonna Annee,Salam Street,Abu Dhabi,N/A,02-4912128,N/A,N/A,/images/placeholder.png
Bonsai Japanese Restaurant,Sh Tahnoon Rd,Abu Dhabi,42776,02-4434807,N/A,N/A,/images/placeholder.png
Bord Eau,"Shangri La, Al Maqta",Abu Dhabi,N/A,02-5098888,N/A,N/A,/images/placeholder.png
Bottega,"Sofitel Dubai, The Palm",Dubai,N/A,04-4556677,N/A,N/A,/images/placeholder.png
Bounty Bar,Liwa,Abu Dhabi,N/A,02-5629100,N/A,N/A,/images/placeholder.png
Bowling City,"4th Floor, Al Mariah Cinema Complex, Hamdan St",Abu Dhabi,52203,02-6760444,N/A,N/A,/images/placeholder.png
Brasserie Angelique,Jumeirah At Etihad Towers,Abu Dhabi,N/A,02-8115666,N/A,N/A,/images/placeholder.png
Brasserie Quartier,"Habtoor City, Shk Zayed Road",Dubai,N/A,04-4355577,N/A,N/A,/images/placeholder.png
Brauhaus,"Beach Rotana, Al Zahiyah",Abu Dhabi,N/A,02-6979011,N/A,N/A,/images/placeholder.png
Bread Street Kitchen,"Atlantis, The Palm",Dubai,N/A,04-4262626,N/A,N/A,/images/placeholder.png
Breakfast To Breakfast,"Al Riqqa St, Deira",Dubai,14831,04-2223011,N/A,N/A,/images/placeholder.png
Brick Lane,Al Barsha 1,Dubai,N/A,04-3996786,N/A,N/A,/images/placeholder.png
Bright Moon Restaurant,"Opp Al Rolla Pharmacy, Rolla Rd, Bur Dubai",Dubai,N/A,04-3939105,N/A,N/A,/images/placeholder.png
Broccoli Pizza & Pasta,Tecom,Dubai,N/A,04-4390305,N/A,N/A,/images/placeholder.png
Brummanah Restaurant,Garhoud,Dubai,60939,04-2501550,N/A,N/A,/images/placeholder.png
Brunei Restaurant,"Bhnd Post Office, Satwa",Dubai,34541,04-3420203,N/A,N/A,/images/placeholder.png
Brunello,"Kempenski Hotel, The Palm",Dubai,N/A,04-4442501,N/A,N/A,/images/placeholder.png
Brunswick Sports Club,Mall Of The Emirates,Dubai,N/A,056-4040685,N/A,N/A,/images/placeholder.png
BU American Restaurant,"World Trade Centre Mall, Airport Road",Abu Dhabi,N/A,02-6668066,N/A,N/A,/images/placeholder.png
Bu Qtair,Jumeirah Beach Road,Dubai,N/A,055-7052130,N/A,N/A,/images/placeholder.png
Bundoo Khan,Al Futtaim Rd,Dubai,N/A,04-2336333,N/A,N/A,/images/placeholder.png
Bur Al Hickman Hospitality,N/A,Dubai,49463,04-3808848,N/A,N/A,/images/placeholder.png
Burger & Lobster,DIFC,Dubai,N/A,04-5148838,N/A,N/A,/images/placeholder.png
Burger Joint New York,City Walk,Dubai,N/A,04-3444459,N/A,N/A,/images/placeholder.png
Burj Al Khan Restaurant,Al Khan,Sharjah,N/A,06-5546422,N/A,N/A,/images/placeholder.png
Bushmans,The Palm,Dubai,N/A,04-5678304,N/A,N/A,/images/placeholder.png
Bussola,"Western Mina Seyahi, Al Soufouh Rd, Dubai Marina",Dubai,N/A,04-3994141,N/A,N/A,/images/placeholder.png
Butcher & Still,"Four Seasons, Al Maryah",Abu Dhabi,N/A,02-3332700,N/A,N/A,/images/placeholder.png
Cactus Jacks,"Millenium Airport Road Hotel, Al Garhoud",Dubai,N/A,04-7028844,N/A,N/A,/images/placeholder.png
Caesar Garden Restaurant,Near Al Wahda Post Office,Sharjah,N/A,06-5594140,N/A,N/A,/images/placeholder.png
Caesar's Restaurant and Confectionery,"Opp Choithram S/Market, Electra St",Abu Dhabi,44514,02-6787244,N/A,N/A,/images/placeholder.png
Caf Barbera,"Al Salam Tower, Dubai Media City",Dubai,N/A,04-4468616,N/A,N/A,/images/placeholder.png
Cafe,"The Walk, Jumeirah Beach Residence, JBR",Dubai,N/A,04-4281551,N/A,N/A,/images/placeholder.png
Cafe Arabesque,"Park Hyatt, Deira",Dubai,N/A,04-3172222,N/A,N/A,/images/placeholder.png
Cafe Arabia,N/A,Abu Dhabi,N/A,02-6439699,N/A,N/A,/images/placeholder.png
Cafe Belge,Ritz Carlton. DIFC,Dubai,N/A,04-3722323,N/A,N/A,/images/placeholder.png
Cafe Berlin Restaurant,"Grand Cinema Bldg, Al Buhaira Corniche",Sharjah,N/A,06-5564564,N/A,N/A,/images/placeholder.png
Cafe D Alsace,Yas Marina,Abu Dhabi,N/A,02-4963412,N/A,N/A,/images/placeholder.png
Cafe Diego,Al Khubeirah,Abu Dhabi,N/A,02-6772344,N/A,N/A,/images/placeholder.png
Cafe Du Roi LLC,TCA,Abu Dhabi,25024,02-6816367,N/A,N/A,/images/placeholder.png
Cafe Julie,JLT,Dubai,N/A,04-3649477,N/A,N/A,/images/placeholder.png
Cafe Nikki,Pearl Jumeirah,Dubai,N/A,04-3766000,N/A,N/A,/images/placeholder.png
Caliburger,Shk Zayed Road,Dubai,N/A,800 2254,N/A,N/A,/images/placeholder.png
Calicut Town Restaurant,"Al Najoom Bldg, Bhnd DNATA, Port Saeed, Deira",Dubai,N/A,04-2698862,N/A,N/A,/images/placeholder.png
Can Can Brasserie,"Ritz Carlton, DIFC",Dubai,N/A,04-3722222,N/A,N/A,/images/placeholder.png
Canopy Restaurant,Hamdan St,Abu Dhabi,38541,02-6788036,N/A,N/A,/images/placeholder.png
Cantina Laredo,"Khalidiya Mall, Khalidiya Street",Abu Dhabi,N/A,600 561112,N/A,N/A,/images/placeholder.png
Canton Restaurant,N/A,Sharjah,N/A,06-5676310,N/A,N/A,/images/placeholder.png
Capitol Hotel,"Al Mina Rd, Satwa",Dubai,33228,04-3460111,N/A,N/A,/images/placeholder.png
Captain Pastry,TCA,Abu Dhabi,N/A,02-4452995,N/A,N/A,/images/placeholder.png
Caramel Restaurant & Lounge,Saadiyat Island,Abu Dhabi,N/A,02-6783344,N/A,N/A,/images/placeholder.png
Caravan Restaurant,Electra St,Abu Dhabi,42757,02-6393370,N/A,N/A,/images/placeholder.png
Caribou Coffee,Dubai Mall LG,Dubai,N/A,04-3399212,N/A,N/A,/images/placeholder.png
Caribou Coffee,Garhoud,Dubai,N/A,04-2833577,N/A,N/A,/images/placeholder.png
Carlton Tower Hotel,"Creek Side, Baniyas St, Deira",Dubai,1955,04-2227111,N/A,N/A,/images/placeholder.png
Carnival By Tresind,"Burj Daman Building, DIFC",Dubai,N/A,04-4218665,N/A,N/A,/images/placeholder.png
Casa De Tapas,Dubai Creek Golf,Dubai,N/A,04-4161800,N/A,N/A,/images/placeholder.png
Castlerock Restaurant,Hamdan St,Abu Dhabi,55217,02-6348345,N/A,N/A,/images/placeholder.png
Catch Restaurant & Lounge,"Restaurant Unit 2, Nation Riviera, Nation Towers",Abu Dhabi,N/A,02-6110909,N/A,N/A,/images/placeholder.png
Cavalli Club,"Farimont Hotel, Shk Zayed Road",Dubai,N/A,04-3329260,N/A,N/A,/images/placeholder.png
Cedar Lounge,Farimont Bab Al bahr,Abu Dhabi,N/A,02-6543223,N/A,N/A,/images/placeholder.png
Cettinad Restaurant,Next to Abu Dhabi Flour Mill,Abu Dhabi,105777,02-6777699,N/A,N/A,/images/placeholder.png
Ceviche,"Emirates Financial Towers, DIFC",Dubai,N/A,04-3266333,N/A,N/A,/images/placeholder.png
Cha Cha Chai,"Amna Bldg, Near IT Plaza",Dubai,N/A,04-3263261,N/A,N/A,/images/placeholder.png
Chaanakyas Restaurant LLLC,"Food Court, Al Khail Mall, Al Quoz",Dubai,N/A,04-3306066,N/A,N/A,/images/placeholder.png
Chaavadi Restaurant,"ESBIJ Street, Behind Emirates Islamic Bank, Opp. Royal Ascot Hotel",Dubai,N/A,04-3595057,N/A,N/A,/images/placeholder.png
Chai Chat,N/A,Dubai,N/A,04-3412331,N/A,N/A,/images/placeholder.png
Chamas,"Ground floor, Intercontinental Hotel, Bainuna Street",Abu Dhabi,N/A,02-6666888,N/A,N/A,/images/placeholder.png
Charleys Grilled Subs,Deira City Center,Dubai,32674,04-3520500,N/A,N/A,/images/placeholder.png
Chatime,Electra and Salam Intersection,Abu Dhabi,N/A,050-1275389,N/A,N/A,/images/placeholder.png
Chautari Restaurant,Bur Dubai,Dubai,242656,04-3571606,N/A,N/A,/images/placeholder.png
Chelsea Restaurant LLC,"Yasmin Bldg, Near Cricket Stadium",Sharjah,N/A,06-5438400,N/A,N/A,/images/placeholder.png
Chennai Restaurant LLC,Abu Shagara,Sharjah,35172,06-5542288,N/A,N/A,/images/placeholder.png
Cherry Blossoms Restaurant LLC,Jebel Ali,Jebel Ali,4511,04-8847533,N/A,N/A,/images/placeholder.png
Chettinadu City Restaurant,"Near Manama Supermarket, Kalba Rd",Sharjah,N/A,06-5353596,N/A,N/A,/images/placeholder.png
Chhappan Bhog Restaurant,Salam St,Abu Dhabi,7789,02-6778864,N/A,N/A,/images/placeholder.png
Chicken Corner,"Al Zahara St, Nasseria",Sharjah,38426,06-5640070,N/A,N/A,/images/placeholder.png
Chicken Cottage,Jumeirah,Dubai,N/A,04-4405994,N/A,N/A,/images/placeholder.png
Chicken Express Restaurant LLC,"Bhnd Bank Sedarat Iran, Rolla",Sharjah,N/A,06-5686969,N/A,N/A,/images/placeholder.png
Chicken Street Cafeteria,"Behind Mashreq Bank, Electra Street",Abu Dhabi,N/A,02-6794989,N/A,N/A,/images/placeholder.png
Chicken Tikka Inn Restaurant,Near Qassimia R/A,Sharjah,1724,06-5749822,N/A,N/A,/images/placeholder.png
Chicking Fried Chicken,"Century Mall, Deira",Dubai,87548,04-2967232,N/A,N/A,/images/placeholder.png
Chik Bites Restaurant & Cafe,"Damascus St,",Dubai,N/A,04-2344994,N/A,N/A,/images/placeholder.png
Chin Chin,Dubai Marina,Dubai,N/A,04-4503543,N/A,N/A,/images/placeholder.png
China Grill,Al Sufouh,Dubai,N/A,04-5117333,N/A,N/A,/images/placeholder.png
China Park,Al Nahda,Sharjah,N/A,06-5313900,N/A,N/A,/images/placeholder.png
China Wind Restaurant,"Near Classic Computers, King Faisal Rd",Sharjah,49816,06-5723052,N/A,N/A,/images/placeholder.png
China Wok Restaurant,"Opp Dubai Grand Hotel, Bhnd Sunrise S/Market",Dubai,3132,04-2631590,N/A,N/A,/images/placeholder.png
Chinchaaus Restaurant,"Amman St, Al Nahda 2",Dubai,N/A,04-2510011,N/A,N/A,/images/placeholder.png
Chinese Star Restaurant,Al Wahda,Sharjah,N/A,06-5720898,N/A,N/A,/images/placeholder.png
Chival,The City Walk,Dubai,N/A,04-4033111,N/A,N/A,/images/placeholder.png
Choice Refreshment and Grills,"Behind ADNOC, Salam Street",Abu Dhabi,N/A,02-6712151,N/A,N/A,/images/placeholder.png
Choice Restaurant,Old Passport Rd,Abu Dhabi,27207,02-6416587,N/A,N/A,/images/placeholder.png
Choice Restaurant,"Near Gulf Cinema, Al Nakheel",Ras Al Khaimah,4966,07-2226225,N/A,N/A,/images/placeholder.png
Choices,"Yas Island, Rotana Hotel",Abu Dhabi,N/A,02-6564000,N/A,N/A,/images/placeholder.png
Chops N Hopes Restaurant,"Behind Mall Of Emirates, Barsha 1",Dubai,37201,04-3654446,N/A,N/A,/images/placeholder.png
Chowking,Al Nahda 2,Dubai,N/A,04-2382837,N/A,N/A,/images/placeholder.png
Chowking Orient Restaurant,"G-39, Al Ghurair City, Deira",Dubai,285849,04-2288377,N/A,N/A,/images/placeholder.png
Chuck Wagon Restaurant - Pearl Hotel,Sh Rashid Palace Road,Umm Al Quwain,887,06-7666678,N/A,N/A,/images/placeholder.png
Cinema New Restaurant,"SEWA Bldg, Near Sharjah Cinema, Al Mina Rd",Sharjah,167,06-5681006,N/A,N/A,/images/placeholder.png
Cipriani,"Gate Village 10, Building 3, DIFC",Dubai,N/A,04-3470003,N/A,N/A,/images/placeholder.png
Circo,"Inter Continental, Al Bateen",Abu Dhabi,N/A,02-6666888,N/A,N/A,/images/placeholder.png
City Burger,Bhnd Al Mariya Cinema,Abu Dhabi,N/A,02-6716788,N/A,N/A,/images/placeholder.png
City Diamond Restaurant,"Near Super Bonanza Hypermarket, Al Quoz 2",Dubai,N/A,04-3466617,N/A,N/A,/images/placeholder.png
City Grill Restaurant,"Near Al Fahidi Souq, Street 33, Meena Bazar",Dubai,N/A,04-3529277,N/A,N/A,/images/placeholder.png
City House Restaurant,N/A,Abu Dhabi,N/A,02-6343060,N/A,N/A,/images/placeholder.png
City King Restaurant,"Behind Lulu Centre, Salam Street",Abu Dhabi,N/A,02-6778848,N/A,N/A,/images/placeholder.png
City Palace Restaurant,Khalifa St,Abu Dhabi,31912,02-6262762,N/A,N/A,/images/placeholder.png
City Restaurant,Satwa,Dubai,N/A,04-3312380,N/A,N/A,/images/placeholder.png
Classio Master Restaurant & Cafeteria,"Near Fahidi Metro Station, Musalla",Dubai,N/A,04-3939732,N/A,N/A,/images/placeholder.png
Claw BBQ,Downtown Dubai,Dubai,N/A,04-4322300,N/A,N/A,/images/placeholder.png
Cleopatra Restaurant - Ana Palace Hotel,"G Flr, Near Sabkha Bus Stn, Deira",Dubai,28490,04-2258899,N/A,N/A,/images/placeholder.png
Clinton Street Baking Company,Downtown Dubai,Dubai,N/A,04-4281331,N/A,N/A,/images/placeholder.png
Coastal Butlers Restaurant LLC,Damascus Street,Dubai,N/A,04-2884428,N/A,N/A,/images/placeholder.png
Coco's Restaurant,Jumeirah Beach Residence,Dubai,32100,04-4243740,N/A,N/A,/images/placeholder.png
Colombo Restaurant,"Morejag New Mosque Rd, National Paint",Sharjah,70587,055-2912477,N/A,N/A,/images/placeholder.png
Common Grounds,Dubai Marina,Dubai,N/A,050-4781094,N/A,N/A,/images/placeholder.png
Comptoir 102,Jumeirah Beach Road,Dubai,N/A,04-3854555,N/A,N/A,/images/placeholder.png
Cook Hall,Al Habtoor City,Dubai,N/A,04-4373333,N/A,N/A,/images/placeholder.png
Coopers Restaurant,"Park Rotana, Al Matar",Abu Dhabi,N/A,02-6573333,N/A,N/A,/images/placeholder.png
Corner Cafe,"X2 Tower, Ground Floor",Dubai,N/A,04-4564984,N/A,N/A,/images/placeholder.png
Countryside,"Fakhruddin Executive Building, International City",Dubai,N/A,800-2686879,N/A,N/A,/images/placeholder.png
Couqley,"Laguna Tower, JLT",Dubai,N/A,04-5149339,N/A,N/A,/images/placeholder.png
Coya,N/A,Dubai,N/A,04-3169600,N/A,N/A,/images/placeholder.png
Creek Restaurant,Al Nahda,Sharjah,N/A,06-5365466,N/A,N/A,/images/placeholder.png
CuiScene,Farimont Bab Al Bahr,Abu Dhabi,N/A,02-6543238,N/A,N/A,/images/placeholder.png
Culinary Boutique,Jumeirah 1,Dubai,N/A,04-3450023,N/A,N/A,/images/placeholder.png
Curry Express,"Ramla Mall Food Court, DIP",Jebel Ali,N/A,04-8847868,N/A,N/A,/images/placeholder.png
"Curry House, The",Electra St,Abu Dhabi,44251,02-6328860,N/A,N/A,/images/placeholder.png
Curry Leaf,"Al Mussalla Tower, Bur Dubai",Dubai,N/A,04-3978940,N/A,N/A,/images/placeholder.png
Curry Toast,"opposite BurJuman Centre, Bur Dubai",Dubai,N/A,04-3547477,N/A,N/A,/images/placeholder.png
D Bar & Grill,Dubai World Trade Centre,Dubai,N/A,050-7240471,N/A,N/A,/images/placeholder.png
Dai Pai Dong,N/A,Abu Dhabi,N/A,02-8135552,N/A,N/A,/images/placeholder.png
Dai Shi Dai,"Murjan 1, Jumeirah Beach Residence",Dubai,N/A,04-4270268,N/A,N/A,/images/placeholder.png
Daily Restaurant,Qusais,Dubai,32645,04-2673708,N/A,N/A,/images/placeholder.png
